Feature,Importance
Engine Type_V8,135144.5402510225
variantName_4MATIC 2018-2023,135144.5402510224
model_Mercedes-Benz AMG G 63,135144.54025101548
modelYear,94917.38722201297
model_Mercedes-Benz AMG GT,91161.38601539299
Engine Type_4.0-L V8 BITURBO engine,91161.38601539214
Engine Type_3.0 litre Petrol Engine,82782.818118566
variantName_3.0 Petrol LWB Vogue SE BSIV,82782.81811856599
model_Land Rover Range Rover,82782.81811855969
model_Land Rover Range Rover Sport,79337.52424282029
model_Toyota Land Cruiser 300,78039.72530258608
Drive Type_AWD INTEGRATED MANAGEMENT,78039.72530258153
Engine Type_V6 3.3l Turbo Diesel Engine,78039.72530258146
Max_Power_Value,76374.85700761701
variantName_S 350 d,69535.71533555503
Engine Type_L6 Diesel Engine,69535.71533555439
Year of Manufacture,68217.05097586483
variantName_Maybach S500,57405.088634149455
City_kolkata,57282.67601745226
RTO_UK15,56130.9525353968
oem_Land Rover,51628.69854407859
Registration Year_Aug 2023,50095.06862992181
Active Noise Cancellation,48249.75968851151
model_Mercedes-Benz S-Class,47475.87058540055
oem_Mercedes-Benz,47420.746108702355
Alloy Wheel Size_20,47360.966466883234
Wheel Size_20,47360.966466883205
variantName_Maybach S560,47244.72748738169
Engine Type_4.0L V8 biturbo,47244.72748738125
Torque,44901.48727940839
Max_Torque_Value,44665.379152519694
variantName_xDrive 40i M Sport,39123.846459849236
Wheel Size_19,38821.760032470615
Alloy Wheel Size_19,38821.76003247061
variantName_320 L,38595.74020231523
Rear Brake Type_Ventilated Disc,38352.38255109934
variantName_300d BSVI,37381.41456024935
RTO_UK07,36784.78655430082
Registration Year_Apr 2023,36378.43441037646
variantName_1.4 CRDi Sportz,36262.121360122284
Rear Entertainment System,36103.665565894
Moon Roof,35626.43527626189
variantName_4.2 TDI Quattro Technology,33935.853746137895
Displacement,33339.39714198825
Engine Displacement,33334.749023207085
Engine,33334.749023188495
No of Cylinder,32937.137729301554
variantName_ML 350 CDI,32749.962391100387
Knee Airbags,32048.23342814513
